 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8081
 * Running on http://172.28.0.12:8081
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [16/Jun/2026 08:36:37] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:36:41] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [16/Jun/2026 08:37:02] "POST /api/upload HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:37:02] "GET /api/pdf/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:01] "[35m[1mPOST /api/chat/sessions HTTP/1.1[0m" 201 -
127.0.0.1 - - [16/Jun/2026 08:38:01] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:01] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:02] "GET /api/chat/pdf-text/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:04] "GET /api/chat/models HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:06] "PATCH /api/chat/session/f4331df8-8be HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:12] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:12] "GET /api/chat/session/f4331df8-8be HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:12] "GET /api/chat/session/f4331df8-8be HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:12] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:13] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:13] "POST /api/chat/send HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:38:24] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:43:52] "[35m[1mPOST /api/chat/sessions HTTP/1.1[0m" 201 -
127.0.0.1 - - [16/Jun/2026 08:43:53] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:43:55] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:43:55] "GET /api/chat/session/832e4901-5b6 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:43:55] "GET /api/chat/session/832e4901-5b6 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:43:55] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:43:55] "POST /api/chat/send HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:43:55] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:44:08] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:46:36] "[35m[1mPOST /api/chat/sessions HTTP/1.1[0m" 201 -
127.0.0.1 - - [16/Jun/2026 08:46:36] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:46:36] "PATCH /api/chat/session/f7f7d54e-f77 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:46:42] "GET /api/chat/session/f7f7d54e-f77 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:46:42] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:46:42] "GET /api/chat/session/f7f7d54e-f77 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:46:42] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:46:42] "POST /api/chat/send HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:46:42] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:47:07] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:51:24] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:51:24] "GET /api/chat/session/f7f7d54e-f77 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:51:24] "GET /api/chat/session/f7f7d54e-f77 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:51:24] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:51:25] "POST /api/chat/send HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:51:25] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:51:48] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:56:02] "[35m[1mPOST /api/chat/sessions HTTP/1.1[0m" 201 -
127.0.0.1 - - [16/Jun/2026 08:56:02] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:56:09] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:56:09] "GET /api/chat/session/70b5bfea-6dd HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:56:09] "GET /api/chat/session/70b5bfea-6dd HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:56:09] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:56:09] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:56:09] "POST /api/chat/send HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2026 08:56:23] "GET /api/chat/sessions/4a195686 HTTP/1.1" 200 -
